"","Student","Training Day","Maneuver","Mission Analysis/Products","Ground Ops","Takeoff","Departure","Basic Aircraft Control","Cross-Check ","Enroute Descent / Recovery","Inflight Checks","Inflight Planning","Clearing / Visual Lookout","Communication","Risk Mgmt / Decision Making","Situational Awareness","Task Management","Emergency Procedures","General Knowledge","PATTERNS","Overhead/Closed Pattern","Visual St-In","Landing","No-Flap Landing","Go-Around","Emergency Landing Pattern","CONTACT","G-Awareness","TP Stalls","Slow Flight","Power On Stalls","Contact Recoveries","Spin Recovery","Aileron Roll","Barrel Roll","Pitchback / Sliceback","Cloverleaf","Cuban Eight","Immelmann","Lazy Eight","Loop","Split S","INSTRUMENTS","Vertical S","Unusual Attitudes","Steep Turns","Intercept / Maintain Arc","Fix to Fix","Holding","Full Procedure Approach","Non-Precision Final","Precision Final","Circling Approach","Missed Approach","Night Landing","BASIC FORMATION","Wing Takeoff","Interval Takeoff","Instrument Trail","G-Warmup / Awareness","Lead Platform","Pitchout (Both)","Fingertip (Wing)","Route (Wing)","Fighting Wing (Wing)","Straight Ahead Rejoin","Turning Rejoin","Overshoot","Echelon (Wing)","Breakout (Wing)","Lost Wingman (Both)","Extended Trail (Wing)","Position Change","Formation Approach (Both)","Formation Landing (Both)","Battle Damage Check","Flt Integrity / Wingman Consideration","TACTICAL FORMATION","Delay 90","Delay 45","Hook Turn","Shackle","Cross Turn","Fluid Turn","Tactical Rejoins","Fluid Maneuvering","Tac Initial","LOW LEVEL","Course Mx","Course Entry","Time Control","Altitude Control","Checkpoint ID","LL GPS Integration","Tactical Maneuvering","LL Lead Change","4 SHIP FORMATION","Four Ship Admin","Fluid 4","Box Formation","Offset Box","Wall","4-Ship Fingertip","Straight Ahead Rejoin","Turning Rejoin","CAF INTRO","Heat to Guns Setup","Heat to Guns Maneuvering ","Fuel Awareness/Management","Advanced Handling","Perch Setups","Maneuver Selection","Offensive Fighter Mnvr Exec","Defensive Fighter Mnvr Exec","CZ Recognition","Air to Air Weapons Employ","HA Lead Turn Exercise","HA Butterfly Setups","HA BFM Flt Analysis","SA Conventional Range","SA Tactical Range Proc","SA Safe-Excape Maneuver","SA Threat Reaction","SA Weapons Employment","Air to Ground Error Analysis","TACS/JFIRE Procedures","Air to Gnd 2-Ship Mutual Supt","MAF INTRO","Mission Management","VFR Arrival","Tanker Procedures","Reciever Procedures","Airdrop Procedures","Crew Coordination","Single Engine Approach","Single Engine GA/Missed Appch","A/R Overrun","A/R Breakaway","FD/AP Operations","FMS Operations","Device"
"1","1","27-Jul","Sim #49","F","F","F","F","F","U","F","F","F","F","F","U","U","F","NG","F","","","","F","","F","","","","","","","","","","","","","","","","","","","","","","","","","F","F","F","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","F","","","","","U","","","","","F","F","S"
"2","1","25-Jul","Sim #48","F","F","F","F","U","U","NG","F","F","F","F","U","U","F","NG","F","","F","","U","","F","","","","","","","","","","","","","","","","","","","","","","","","","F","U","U","U","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","F","","","","","F","","","","","F","F","S"
"3","1","19-Jul","Sim #47","F","F","F","F","F","F","F","F","F","F","F","F","F","F","NG","F","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","F","F","F","F","F","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","U","F","","","","F","","","","","F","F","S"
"4","1","18-Jul","Sim #46","U","F","F","F","F","F","F","F","F","F","F","F","F","F","NG","F","","","","F","","F","","","","","","","","","","","","","","","","","","","","","","","","F","F","F","F","","F","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","U","F","","","","U","","","","","F","F","S"
"5","1","13-Jul","Sim #45","U","U","F","F","F","F","F","F","F","F","F","F","F","F","NG","F","","F","F","F","","","","","","","","","","","","","","","","","","","","","","","","","","","F","F","F","F","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","U","","","","","U","","","","","U","U","S"
"6","1","11-Jul","Sim #44","U","U","U","U","U","U","U","U","U","U","F","U","U","F","NG","U","","","","F","","","","","","","","","","","","","","","","","","","","","","","","","","","U","F","F","F","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","U","","","","","U","","","","","U","U","S"
"7","1","23-Jul","Flight #44","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","","","","E","","","","","","","","","","","","","","","","","","","","","","","","","","","","","E","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","E","","","","","E","","","","","","","F"
"8","1","23-Jul","Flight #43","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","","","","E","","","","","","","","","","","","","","","","","","","","","","","","","","","","","G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","E","","","","","E","","","","","","","F"
"9","1","22-Jul","Flight #42","G","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","","G","","G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","G","","","","","","","","","","","","","","","G","","","","G","","","","","","","","","","","","E","E","E","E","E","E","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","E","G","","","","E","","","","","","","F"
"10","1","21-Jul","Flight #41","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","","G","","E","","","","","","","","","","","","","","","","","","","","","","","","","","","G","G","","E","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","E","E","","","","E","","","","","","","F"
"11","1","21-Jul","Flight #40","E","E","E","G","E","E","E","E","E","E","E","E","E","E","E","E","","","","G","","G","","","","","","","","","","","","","","","","","","","","","","","","","E","E","","G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","E","","","","","E","","","","","","","F"
"12","1","17-Jul","Sim #43","F","G","G","G","G","G","F","G","E","G","G","G","G","G","G","G","","","","G","","","","","","","","","","","","","","","","","","","","","","","","G","F","","G","","E","","G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","G","","","","","","","S"
"13","1","16-Jul","Flight #39","G","F","G","G","G","G","G","G","G","G","G","G","G","G","G","G","","","","G","","","","","","","","","","","","","","","","","","","","","","","","G","","G","G","G","G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","G","","","","","G","","","","","","","F"
"14","1","16-Jul","Flight #38","G","E","G","G","G","G","G","G","G","G","G","G","G","G","G","G","","","","G","","G","","","","","","","","","","","","","","","","","","","","","","G","","G","G","G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","G","","","","","F","","","","","","","F"
"15","1","12-Jul","Flight #37","G","G","G","F","G","G","G","G","E","E","G","G","G","G","G","G","","","","G","","","","","","","","","","","","","","","","","","","","","","","","","","","G","E","E","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","G","","","","","G","","","","","","","F"
"16","1","12-Jul","Flight #36","G","G","E","G","G","G","F","G","G","G","G","G","G","G","G","G","","","","G","","","","","","","","","","","","","","","","","","","","","","","","","","G","G","E","E","","G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","G","","","","","","","","","","","","F"
"17","1","10-Jul","Flight #35","E","G","G","G","E","G","E","G","G","E","G","E","G","E","NG","NG","","G","","NG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","E","","G","G","F","F","F","G","E","G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","F"
"18","1","9-Jul","Flight #34","G","E","E","G","G","G","E","E","E","E","G","G","G","G","NG","NG","","","","NG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","F"
"19","1","9-Jul","Flight #33","G","E","G","E","G","G","G","G","G","E","G","G","G","G","G","E","","G","","G","","","","","","","","","","","","","","","","","","","","","","","","","","","","G","","","","","","E","","","E","G","","G","G","G","G","G","","","","E","F","G","","","G","G","","G","G","G","G","G","","F","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","F"
"20","1","3-Jul","Flight #32","G","E","G","G","G","F","G","G","G","G","G","G","F","G","G","G","","","","G","","G","G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","G","","","","","","","","","","","","","","","G","","","G","","G","G","G","","","","","","","","G","G","G","G","G","G","G","G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","F"
"21","1","3-Jul","Flight #31","G","G","G","G","G","G","G","G","G","G","G","G","G","G","G","G","","G","","G","","","","","","","","","","","","","","","","","","","","","","","","G","","","G","G","","G","","","","G","","","G","G","","G","G","G","","G","","","","G","G","G","","","G","G","","G","G","G","G","G","","G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","F"
